Iteration;currentValue;bestValue;current-Step-Size
1;-0.000000;Inf;0.300000
2;-0.000000;-0.000000;0.300000
3;-0.000000;-0.000000;0.300000
4;-0.000000;-0.000000;0.300000
5;-0.000000;-0.000000;0.300000
6;-0.000000;-0.000000;0.300000
7;-0.000000;-0.000000;0.300000
8;-0.000000;-0.000000;0.300000
9;-0.000000;-0.000000;0.300000
10;-0.000000;-0.000000;0.300000
11;-0.000000;-0.000000;0.300000
