Iteration;currentValue;bestValue;current-Step-Size
1;16.773156;Inf;0.200000
2;15.782034;16.773156;0.200000
3;15.782034;15.782034;0.200000
4;12.994086;15.782034;0.200000
5;7.512689;12.994086;0.200000
6;7.512689;7.512689;0.200000
7;12.994086;7.512689;0.200000
8;12.994086;7.512689;0.200000
9;12.994086;7.512689;0.200000
10;10.689246;7.512689;0.200000
11;4.783929;7.512689;0.200000
